The Last Drop (distilled at Lochside) 1972 (cask 346) 44%,Grain Scotch Whisky,96,3108,A remarkable beauty from the Angus town of Montrose. The elegant nose shows a dram at peace with itself; golden syrup hay bales ground hazelnut liquid honey French baguette High Mountain oolong and rubbed spice blends. Refreshing palate of honey toffee citrus honeycomb wax and a profusion of sweet vanilla. Rich sweet oak and deep pepper notes to finish. Truly a sublime and venerable grain. (106 bottles) £2400
Compass Box Flaming Heart (10th Anniversary bottling) 48.9%,Blended Malt Scotch Whisky,95,105,A marriage of three different single malts aged in American and French oak. This whisky shows the advantage of marrying whiskies from more than one distillery (when properly done). Vibrant with a complex array of fruit (orchard fruit sultana) sweetness (light toffee marzipan honeyed malt) spice (creamy vanilla mocha warming pepper) smoke (tar smoked olive coal) and lesser notes of toasted almond and beach pebbles. More smoke and tar on the palate than the nose yet always in balance. Well played! (Editor's Choice)
Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling 54.7%,Blended Scotch Whisky,95,120,As you’d expect solid peat is the first thing out of the glass but this isn’t just a peat beast. Underneath are honey dried fruit and malt. The palate is all about balance with honeyed malt raisin and oak spice all complementing smoky peat. A lush mouthfeel makes you forget it’s cask strength. A pure love note in a glass from Compass Box to Park Avenue Liquor.  (Park Avenue Liquor only)
Johnnie Walker Blue Anniversary 60%,Blended Scotch Whisky,95,3500,Formulated to celebrate the 200th anniversary of Johnnie Walker. This is a fabulous whisky for anyone who can spring for the bottle. It is deep dark and quite powerful with a hefty malt foundation and sweeter notes of toffee and vanilla combined with resinous oak complex fruit (both bright citrus notes and darker pit fruits) crisp mint tobacco polished leather and heavy peat smoke. A tour de force of a blended scotch-as big as many single malts reviewed here. 
Chivas 18 year old 40%,Blended Scotch Whisky,95,70,An essay in balance on both the aroma and palate. Silky layers of delicate sweetness (honeyed vanilla caramel light toffee) permeate through clean delicate fruit (citrus peach currant) and subtle complex dried spice. Clean finish with a hint of dark chocolate. A very versatile very drinkable blend which suits most moods and occasions. Indeed a benchmark blended scotch.
Ardbeg 1974 Vintage Cask #3145 49.9%,Single Malt Scotch,95,20000,Cask #3145 is the lighter in color and the sweet notes that balance the smoke and seaweed are not as deeply caramelized as Cask #3542. I’m tasting hints of shortbread and caramel which show through the peat smoke tobacco toasted nuts firm spice notes (cinnamon clove and mint) and lingering brine. Very complex. Price listed includes the entire Double Barrel 1974 Vintage set.
Ardbeg Uigeadail 54.2%,Single Malt Scotch,95,70,With the Ardbeg 17 year old off the market it is nice to see a new Ardbeg in the line-up. Uigeadail costs about the same as the Ardbeg 17 did but with Uigeadail you are getting a much more interesting whisky. Uigeadail consists of a marriage of younger whisky (from 1990 and 1993) with much older whisky matured in sherry casks. The marriage works exceptionally well with the younger whiskies providing the classic Ardbeg intensity many of us have come to expect while the older whiskies contribute depth maturity and complexity. And bottling the whisky at cask-strength without chill-filtration ensures that none of the flavors are stripped out. This is an incredibly complex Islay whisky with its bonfire smoke brine and peppered olive notes balanced by a taming sweetness of vanilla marshmallow and toffee. Interwoven notes of candied fruit and sugared almonds round out the palate. Incredibly long finish.
Balvenie 1973 43 year old 46.6%,Single Malt Scotch,95,15000,This expression was matured in a European oak oloroso sherry butt. Overtly sherried with figs sultanas cinnamon and old warm leather on the nose. Finally fragrant with milk chocolate-coated Turkish delight. The Turkish delight carries over to the palate before the chocolate darkens to plain with raisins smoked ham and cloves in the long finish. Remarkably almost no tannic oak. Textbook stuff.
Bowmore 50 year old (distilled 1961) 40.7%,Single Malt Scotch,95,26650,The whisky is sensational a glorious mix of ginseng syrup baked banana semi-dried tropical fruits and an exotic smoked edge. Without the last you could believe it was a delicate Cognac. In time there’s peppermint and guava syrup. A sip is all you need to reveal perfect thrilling harmony: light nuttiness pollen subtle fruits gentle smoke and light fungal touches. It’s stunning but it’s £16000! Whisky this great even in limited quantities should be fairly priced. Points off. £16000
Brora 30 year old 55.7%,Single Malt Scotch,95,400,Astonishingly fresh and clean for 30 years in oak and with incredible depth. Slight oily texture. Appetizing brine with honeyed vanilla mustard seed green olive Seville orange and lemon zest. Underlying smoke damp peat and seaweed. Put simply Brora at its finest. 
Lombard 'Jewels of Scotland' (distilled at Brora) 1982 vintage 50%,Single Malt Scotch,95,200,Bottled in 2004 but just recently put in circulation here in the U.S. (Very strange.) It’s worth the wait. It’s fresh (even at 22 years old) appetizing spicy and briny. There’s a sweet foundation of vanilla wafer and caramel with a slightly oily texture. White pepper seaweed mustard seed lime gherkin and teasing gin botanicals add complexity. Spicy salty finish. A vibrant dynamic expression of the shuttered original Clynelish distillery. Quite stunning actually. Find yourself a bottle before they’re gone!
Brora 30 year old (2009 Release) 53.2%,Single Malt Scotch,95,400,This whisky has all the positive aspects of a very mature whisky (depth complexity) without all the negative ones (excessive oak one-dimensional). Very clean but oily in texture with honeyed vanilla caramel citrus (tangerine orange lemon) nectarine olive brine black pepper ginger cut grass mustard seed and just the hint of teasing smoke. Briny spicy finish. Wonderful!
Brora 2010 54.3%,Single Malt Scotch,95,455,Though Brora has acquired cult status it has to be said that for a few years these Special Release Broras went through an off-putting butyric phase which might well have put. One nose of the 2010 SR shows that these days have been consigned to the past. This is classy from the word go. Gold in color; the nose manages to be both overtly waxy — I’m reminded of waxed paper — and fragrant. Behind that is coal smoke rather than the heavy peatiness of earlier vintages (Brora’s peating levels varied in its last years). In other words this is robust and powerful with an evocative aroma that speaks of old sea chests the seashore and vellum. Hugely concentrated with massed fruits — quince especially — following behind. This is amplified with a drop or two of water off newbies to this legendary closed site who must have wondered what all the fuss was about.
Brora 35 year old 49.9%,Single Malt Scotch,95,750,Maturation of this 1978 distillate has taken place in European oak and refill American oak casks. Fresh and fruity on the early herbal nose; a hint of wax plus brine developing walnut fudge and an underlying wisp of smoke. Finally wood resin. The palate is very fruity with mixed spices then plain chocolate damp undergrowth gentle peat smoke and finally coal. Mildly medicinal. Ashy peat and aniseed linger in the long slowly drying finish. Brora at its very best. (2944 bottles) Editor's Choice
Glenfarclas 1968 Vintage 43% ABV,Single Malt Scotch,95,200,It has been quite a while since we have seen a new Glenfarclas here in the U.S. but after tasting this whisky it was worth the wait. Glenfarclas is a rich stylish whisky that ages very well and this 1968 vintage proves it. It is very deep and mature with complex fruit (sultana marmalade) layered by sweetness (honey caramel and toffee). All those years in oak contribute another dimension to the whisky providing a dry oaky spiciness polished leather and a hint of tobacco-especially on the finish. Never does the whisky taste tired or excessively woody. It expresses all that is good about an older whisky without any of the down side. I'm told that most of the 1400 bottles imported to the U.S. went to the Chicago area. It is worth taking the extra time to track down a bottle.
Glenfarclas 40 year old 46%,Single Malt Scotch,95,460,Glenfarclas has a proven track record for aging very well. I’ve enjoyed some amazing 25 and 30 year old expressions in addition to some older vintage offerings. Does this new 40 year old follow suit? Absolutely! It’s complex and well-rounded with great depth and no excessive oak. Lush candied citrus (especially orange) old pot still rum maple syrup fig roasted nuts and polished leather with hints of mocha candied ginger and tobacco. A bit oily in texture (which I find soothing) with good tannic grip on the finish. A classic well-matured Glenfarclas — and a very good value for its age. (Editor's Choice)
Glenglassaugh 40 year old 44.6%,Single Malt Scotch,95,2525,An excellent example of an ultra-mature sherried whisky done the right way. Much darker and more decadent than the other two releases here. Silky texture. Rummy jammy fruit toasted walnut leather spice (cinnamon clove) tobacco and dark chocolate with a foundation of juicy oak. Tasting this whisky you know it’s old but you also know it’s very good. 
The Glenlivet Cellar Collection 1973 vintage 49%,Single Malt Scotch,95,1250,A marriage of three casks one of them an ex-sherry butt. The sherry is certainly evident and this is more sherried than many of the Cellar Collection whiskies to date. Opulent and seductive with prominent fruit (glazed spiced oranges ripe peach and hints of pineapple and coconut) caramel-coated nuts and vanilla custard. A peppering of ginger and cinnamon throughout. Coating soothing finish. Polished and seamless with no trace of excessive oak. One of the richest -- and finest -- Cellar Collections to date. Anyone willing and able to cough up the bucks for this whisky will be richly rewarded. (Only 240 bottles available in the U.S. beginning June 2010.)
